Datetime,Seconds for HTTP GET by IP,Seconds for HTTP GET by Hostname
2018-03-26T06:46:10Z,0.09,0.01
2018-03-26T06:46:20Z,0.01,0.03
2018-03-26T06:46:30Z,0.02,0.03
2018-03-26T06:46:40Z,0.09,0.11
2018-03-26T06:46:50Z,0.01,0.02
2018-03-26T06:47:00Z,0.01,0.04
2018-03-26T06:47:10Z,0.02,0.04
2018-03-26T06:47:20Z,0.02,0.02
2018-03-26T06:47:31Z,0.01,0.02
2018-03-26T06:47:41Z,0.01,0.02
2018-03-26T06:47:51Z,0.01,0.03
2018-03-26T06:48:01Z,0.01,0.03
2018-03-26T06:48:11Z,0.01,0.03
2018-03-26T06:48:21Z,0.01,0.04
2018-03-26T06:48:31Z,0.02,0.02
2018-03-26T06:48:41Z,0.01,0.02
2018-03-26T06:48:51Z,0.01,0.03
2018-03-26T06:49:01Z,0.02,0.04
2018-03-26T06:49:11Z,0.01,0.02
2018-03-26T06:49:21Z,0.01,0.02
2018-03-26T06:49:31Z,0.01,0.03
2018-03-26T06:49:41Z,0.02,0.04
2018-03-26T06:49:51Z,0.01,0.03
2018-03-26T06:50:02Z,0.01,0.04
2018-03-26T06:50:12Z,0.01,0.03
2018-03-26T06:50:22Z,0.02,0.04
2018-03-26T06:50:32Z,0.01,0.02
2018-03-26T06:50:42Z,0.01,0.02
2018-03-26T06:50:52Z,0.13,0.03
2018-03-26T06:51:02Z,0.02,0.02
2018-03-26T06:51:12Z,0.01,0.02
2018-03-26T06:51:22Z,0.02,0.03
2018-03-26T06:51:32Z,0.01,0.01
2018-03-26T06:51:42Z,0.00,0.04
2018-03-26T06:51:52Z,0.02,0.04
2018-03-26T06:52:02Z,0.01,0.02
2018-03-26T06:52:12Z,0.01,0.03
2018-03-26T06:52:23Z,0.02,0.03
2018-03-26T06:52:33Z,0.01,0.04
2018-03-26T06:52:43Z,0.02,0.03
2018-03-26T06:52:53Z,0.02,0.03
2018-03-26T06:53:03Z,0.01,0.04
2018-03-26T06:53:13Z,0.01,0.03
2018-03-26T06:53:23Z,0.01,0.03
2018-03-26T06:53:33Z,0.01,0.04
2018-03-26T06:53:43Z,0.01,0.02
2018-03-26T06:53:53Z,0.02,0.03
2018-03-26T06:54:03Z,0.01,0.03
2018-03-26T06:54:13Z,0.01,0.02
2018-03-26T06:54:23Z,0.01,0.04
2018-03-26T06:54:33Z,0.02,0.04
2018-03-26T06:54:44Z,0.01,0.02
2018-03-26T06:54:54Z,0.01,0.03
2018-03-26T06:55:04Z,0.01,0.04
2018-03-26T06:55:14Z,0.01,0.04
2018-03-26T06:55:24Z,0.02,0.04
2018-03-26T06:55:34Z,0.04,0.03
2018-03-26T06:55:44Z,0.02,0.03
2018-03-26T06:55:54Z,0.01,0.02
2018-03-26T06:56:04Z,0.02,0.03
2018-03-26T06:56:14Z,0.01,0.04
2018-03-26T06:56:24Z,0.02,0.04
2018-03-26T06:56:34Z,0.01,0.03
2018-03-26T06:56:44Z,0.02,0.04
2018-03-26T06:56:54Z,0.01,0.01
2018-03-26T06:57:05Z,0.01,0.27
2018-03-26T06:57:15Z,0.01,0.04
2018-03-26T06:57:25Z,0.02,0.03
2018-03-26T06:57:35Z,0.02,0.04
2018-03-26T06:57:45Z,0.01,0.04
2018-03-26T06:57:55Z,0.01,0.03
2018-03-26T06:58:05Z,0.03,0.06
2018-03-26T06:58:15Z,0.02,0.04
2018-03-26T06:58:25Z,0.01,0.02
2018-03-26T06:58:35Z,0.01,0.02
2018-03-26T06:58:46Z,0.01,0.04
2018-03-26T06:58:56Z,0.01,0.02
2018-03-26T06:59:06Z,0.01,0.04
2018-03-26T06:59:16Z,0.02,0.02
2018-03-26T06:59:26Z,0.01,0.04
2018-03-26T06:59:36Z,0.01,0.04
2018-03-26T06:59:46Z,0.01,0.04
